game_id,condition,start_instruction_ts,start_practice_ts,start_experiment_ts,end_experiment_ts,practice_procedure_time_spent,evaluation_procedure_time_spent,comprehension_attempts,age,gender,race,ethnicity,judged_difficulty,browser,input_device,feedback,technical_difficulties
0040-de2cc13d-2cd3-41e0-b135-3f402c1f3c72,environment_counterfactual,1705721858832.0,1705721939311.0,1705722214301.0,1705722661329.0,274990.0,447028.0,2,25,Male,Asian,Non-Hispanic,4,firefox,Mouse,,
0044-b7a42bb7-975e-420f-b357-e475d55ed0ba,causal_selection,1705616599095.0,1705617018050.0,1705617245474.0,1705617842444.0,227424.0,596970.0,0,25,Female,White,Non-Hispanic,1,chrome,Trackpad,,
0219-b4330982-2196-4772-96fb-e12405ff8a83,environment_causal,1705713410791.0,1705713704773.0,1705714058795.0,1705714436459.0,354022.0,377664.0,0,41,Female,Multiracial/Mixed,Non-Hispanic,1,edge-chromium,Touch Screen,It was an interesting experiment. I enjoyed it.,
0351-abd8415e-0f2a-43b2-9332-d6f66b025a62,environment_counterfactual,1705813620876.0,1705813814295.0,1705814154114.0,1705814517064.0,339819.0,362950.0,4,55,Male,White,Non-Hispanic,2,chrome,Mouse,I decided to respond based on the information that was given at the beginning of the survey on Hope and Prudence.,
0423-3bd92222-c74f-4602-859b-0997775c4586,environment_causal,1705714018808.0,1705714302615.0,1705714633115.0,1705715065261.0,330500.0,432146.0,0,29,Female,White,Non-Hispanic,1,firefox,Mouse,I would look around at the farm to see where the plants were located to see if they made the best course of action.,none.
0527-f15fa803-7b81-4e77-9f14-fa56b296b91c,environment_counterfactual,1705720322905.0,1705720489013.0,1705720843626.0,1705721250835.0,354613.0,407209.0,1,43,Male,White,Hispanic,3,chrome,Trackpad,,
0528-f50502d2-bd41-4096-a2f9-7a55a566a760,environment_counterfactual,1705721881501.0,1705722054851.0,1705722325618.0,1705723113256.0,270767.0,787638.0,0,28,Female,White,Hispanic,1,chrome,Trackpad,"Keeping the practice rounds in mind, I tried to visualize which path the farmer would take, and that is what I based my responses on.",
0557-8d8c6c2c-26b7-4453-bd73-7b9b8530de7b,trait_counterfactual,1705716773755.0,1705716850923.0,1705717024969.0,1705717269218.0,174046.0,244249.0,2,25,Female,White,Non-Hispanic,3,chrome,Mouse,n/a,n/a
0601-fd456eea-9a45-429b-9c79-3dc145f26722,trait_counterfactual,1705716243824.0,1705716267515.0,1705716462909.0,1705717009990.0,195394.0,547081.0,0,30,Female,White,Non-Hispanic,2,chrome,Trackpad,It was fun,"The first time the scale did not load to rate Hope/Prudence's path but when I re-did it, it did"
0728-4a281bee-9e35-4d82-b9be-4cdb096338fb,environment_counterfactual,1705720402645.0,1705720736605.0,1705721081009.0,1705721697101.0,344404.0,616092.0,0,46,Female,Black/African American,Non-Hispanic,2,edge-chromium,Mouse,"It was cute, the characters were fun to look at.",
0738-d3d5bb7e-b3dd-4abe-9944-3df3a2e515df,trait_counterfactual,1705716430321.0,1705716648392.0,1705716959704.0,1705717347532.0,311312.0,387828.0,0,61,Male,White,Non-Hispanic,2,chrome,Mouse,The factors that influenced my responses were the descriptions of their decision styles. And what was available to them. ,No technical difficulties.
0753-4a357549-00d9-4a69-a863-059c77803635,trait_counterfactual,1705719897507.0,1705720023718.0,1705720291211.0,1705720674744.0,267493.0,383533.0,0,27,Female,White,Non-Hispanic,1,chrome,Trackpad,,
0761-d8c119a1-505c-4ee8-9226-54c9397e759e,trait_counterfactual,1705719617939.0,1705719981611.0,1705720368042.0,1705720761718.0,386431.0,393676.0,3,62,Male,White,Non-Hispanic,4,chrome,Mouse,Thank you,
0779-31fab7dc-6922-48c8-8ca6-9d4012a55d08,trait_causal,1705714425199.0,1705714618563.0,1705714969505.0,1705715688257.0,350942.0,718752.0,0,41,Non-binary,Asian,Non-Hispanic,3,chrome,Trackpad,"The only thing I think that influenced how I decided to respond was whether the farmer was Hope or Prudence, as I was trying to follow the instructions provided.",
0814-dd46ae83-c87e-46a0-90c0-d7574dfc7e5f,causal_selection,1705617699515.0,1705617873068.0,1705618061250.0,1705618898009.0,188182.0,836759.0,0,35,Male,White,Non-Hispanic,2,chrome,Mouse,,
0855-8fb5a94b-1b67-45ef-87ff-7daf16742068,environment_causal,1705713383835.0,1705713711685.0,1705714054554.0,1705714465014.0,342869.0,410460.0,0,32,Female,White,Non-Hispanic,1,chrome,Trackpad,When deciding what path to take I saw the question mark trees as my targets and for prudence I opted for trees with berries shown as opposed to the question mark trees.,no technical difficulties
0876-52ff6d51-b013-4b96-a59f-3d545ecd21b0,trait_causal,1705711701404.0,1705711793220.0,1705712092324.0,1705712556144.0,299104.0,463820.0,0,25,Female,White,Non-Hispanic,2,safari,Trackpad,,
1030-cec71e80-5fa0-43a5-823c-71de884cd388,trait_causal,1705713010365.0,1705713296169.0,1705713690152.0,1705714219643.0,393983.0,529491.0,1,44,Female,Black/African American,Non-Hispanic,2,chrome,Trackpad,I just tried to count the berries that would add up to 20. Thank you I enjoyed playing this game.,
1048-899f28d5-d2e5-4364-b56c-10057781eeaf,environment_counterfactual,1705716412281.0,1705716465514.0,1705716794492.0,1705717446265.0,328978.0,651773.0,0,24,Male,White,Non-Hispanic,2,chrome,Mouse,I looked for the best results possible.,
1058-acaa14e9-9994-485f-b07d-9ec4acfd9810,trait_counterfactual,1705716459255.0,1705716563741.0,1705716810420.0,1705717230749.0,246679.0,420329.0,0,31,Male,White,Non-Hispanic,1,chrome,Mouse,,
1214-9ea75761-6995-45a4-b1b6-7378ecfaaa03,trait_counterfactual,1705716524477.0,1705716683258.0,1705716851775.0,1705717375451.0,168517.0,523676.0,0,27,Male,Black/African American,Non-Hispanic,2,firefox,Mouse,The main factor was taking into account whether or not optimism or pessimism would provide access to more trees in each scenario.,
1231-5325f84a-21ac-4385-a4b1-2091e1cf31f5,environment_causal,1705711913460.0,1705712140521.0,1705712520386.0,1705713258977.0,379865.0,738591.0,0,50,Male,White,Non-Hispanic,1,chrome,Mouse,I added up berries coming from both sides.,
1246-1ca7caba-5cfc-4cdf-a40b-8ed700710fe9,causal_selection,1705616947102.0,1705617090121.0,1705617274019.0,1705617659024.0,183898.0,385005.0,0,21,Male,White,Non-Hispanic,2,edge-chromium,Mouse,The location of trees and optimal path,I did not encounter any issues. 
1331-ccdcb45a-a62a-4730-b692-9a5ef487603c,trait_causal,1705712121537.0,1705712346485.0,1705712741309.0,1705713119459.0,394824.0,378150.0,3,54,Female,Black/African American,Non-Hispanic,3,chrome,Mouse,I tried feeling optimistic and pessimistic for each farmer as they would during each turn respectively. Like Hope I am a optimist!,
1379-82300d2a-046d-4283-a8ba-7e2d553c26bf,causal_selection,1705629018727.0,1705629286787.0,1705629724386.0,1705630189632.0,437599.0,465246.0,0,23,Female,White,Non-Hispanic,1,chrome,Trackpad,"I responded based on the potential outcomes if the farmer had been more or less optimistic, while also accounting for whether meeting the goal was even possible from their starting location",I didn't encounter technical difficulties
1477-12a28152-f378-4e4e-b90e-dc4bf9752c3e,environment_counterfactual,1705721899728.0,1705722049428.0,1705722269773.0,1705723188393.0,220345.0,918620.0,0,24,Non-binary,White,Non-Hispanic,1,chrome,Mouse,,
1488-7f32ebc3-6cf1-4875-bf6b-e9133f34f47a,causal_selection,1705616693032.0,1705616895414.0,1705617140580.0,1705617482971.0,245166.0,342391.0,0,33,Female,Multiracial/Mixed,Hispanic,1,chrome,Mouse,"it doesn't make sense to blame pessimism or optimism when starting location is by far the most important aspect, and there's no telling if testing your luck with the mystery trees would ever yield greater results when you don't know the odds. it's almost always going to be better to stick to the path you can see, since you waste steps otherwise. but fun study regardless. ",
1558-28cd2fbe-ffd5-4e62-8fcc-f6a0f82a8e8c,environment_causal,1705713812654.0,1705713923344.0,1705714121885.0,1705714592574.0,198541.0,470689.0,0,35,Male,White,Non-Hispanic,3,firefox,Mouse,,
1662-de43066e-34e7-4feb-9fef-3e8935624c2e,environment_causal,1705713430759.0,1705713802586.0,1705714149627.0,1705714667080.0,347041.0,517453.0,0,26,Female,White,Hispanic,1,chrome,Trackpad,,
1672-ceff546b-a799-44e2-8957-2aaa3c79fd9f,environment_counterfactual,1705720624223.0,1705720890014.0,1705721353227.0,1705722389754.0,463213.0,1036527.0,0,32,Female,White,Non-Hispanic,2,safari,Trackpad,I haven't slept much. Worked a long day- so not 100% alert but I did take my time on it. Switched up my thinking halfway through when I remembered that Prudence would never use the mystery trees.,
1683-261255b1-2cfc-46eb-820d-823ff616e5dd,trait_counterfactual,1705716459171.0,1705716527446.0,1705716811432.0,1705717182647.0,283986.0,371215.0,1,22,Female,White,Non-Hispanic,2,ios,Trackpad,I compared hope and prudence to the number of berries they harvested. ,
1691-32bd9451-9448-49f4-bf4b-2f445c74a8f1,trait_counterfactual,1705717748160.0,1705718342729.0,1705718809231.0,1705719558645.0,466502.0,749414.0,2,54,Female,Black/African American,Non-Hispanic,4,chrome,Trackpad,Some parts of the game strategy were difficult to understand.,
1728-d16af1a5-0287-4a6f-91bb-170cd83124f0,environment_causal,1705714651410.0,1705714827450.0,1705715101814.0,1705715495994.0,274364.0,394180.0,4,27,Male,Multiracial/Mixed,Non-Hispanic,1,chrome,Mouse,Whether the path they took was good or not ,No issues 
1747-4c291ac1-9239-46c3-a152-b3416576a6f5,causal_selection,1705626047688.0,1705626398727.0,1705626723086.0,1705627263510.0,324359.0,540424.0,0,26,Male,White,Non-Hispanic,1,chrome,Trackpad,,
1852-1e0c7580-c442-4d04-afec-dcba21047675,trait_counterfactual,1705716516909.0,1705716753758.0,1705717036140.0,1705717505386.0,282382.0,469246.0,0,35,Male,White,Hispanic,1,chrome,Trackpad,Behavioral patterns determined my choices. Game as fun!,None
2022-a913d249-5ee9-4d19-a5e8-7ab3555c875c,trait_causal,1705711541313.0,1705711724766.0,1705712082694.0,1705712422892.0,357928.0,340198.0,0,37,Female,Asian,Non-Hispanic,2,firefox,Mouse,"Mostly the directions influenced the way I decided to respond, honestly. Tried to follow what was asked for and what would be deemed as correct. Interesting, but slow between rounds. ",No.
2070-46f541f3-b344-4b34-b663-be3dd103249d,trait_causal,1705712757053.0,1705713249578.0,1705714568025.0,1705715634270.0,1318447.0,1066245.0,8,55,Female,White,Non-Hispanic,1,chrome,Mouse,I just counted what was there and if another way would have brought in more berries.,
2329-ab34c702-f1dd-4dac-84df-6a59d2e9bd81,environment_causal,1705713242231.0,1705713505563.0,1705713843344.0,1705714267020.0,337781.0,423676.0,1,45,Male,Multiracial/Mixed,Hispanic,1,chrome,Mouse,"Man, prudence and hope that is a subject to study. Happy Higher learning.",
2373-4973ab0f-b638-48ea-8aae-6d60743f6c73,causal_selection,1705626075787.0,1705626337947.0,1705626658905.0,1705627078746.0,320958.0,419841.0,1,52,Female,Black/African American,Non-Hispanic,2,chrome,Trackpad,,
2413-184bbcb8-43fa-4ac9-abbe-b9341068298c,trait_counterfactual,1705716222754.0,1705716242750.0,1705716380918.0,1705716727977.0,138168.0,347059.0,0,45,Male,White,Non-Hispanic,2,chrome,Mouse,,
2520-c78cf027-3299-4c7c-a24d-6ba872369ac5,trait_counterfactual,1705813657585.0,1705814184387.0,1705814523753.0,1705814914572.0,339366.0,390819.0,0,60,Non-binary,Multiracial/Mixed,Non-Hispanic,1,chrome,Trackpad,I tried to weigh the risks that Hope took and about half the time those risks were not worth it.  I had fun trying to overthink though.,No issues
2524-9450a1bf-6be3-4ad1-9272-f15344d57f8b,environment_causal,1705713046091.0,1705713137493.0,1705713338909.0,1705713660500.0,201416.0,321591.0,2,40,Male,White,Non-Hispanic,2,chrome,Trackpad,the presence of trees,
2590-3b4d096f-e8fc-4da0-bfd5-1237625864e0,causal_selection,1705626072189.0,1705626242366.0,1705626501342.0,1705626887793.0,258976.0,386451.0,0,30,Male,White,Non-Hispanic,1,chrome,Trackpad,"I responded based off balancing how far away Hope and Prudence were when selecting which path. There were times when there just wasn't a good option. However, I began to see the times when risking the random tiles were worth it or not worth it. I put myself in the their shoes and tried to see what path I would have taken. Then if I had failed that path, was it because of optimism or pessimism. It was an interesting study. ",
2661-43aed469-cfa0-407d-9464-86910df4524e,causal_selection,1705626008391.0,1705626119223.0,1705626324685.0,1705626706772.0,205462.0,382087.0,0,34,Female,White,Non-Hispanic,2,chrome,Mouse,,
2846-fa7ad273-f538-4337-bc0c-729e516f8402,environment_counterfactual,1705721879792.0,1705722042703.0,1705722271803.0,1705722774535.0,229100.0,502732.0,0,37,Male,White,Non-Hispanic,2,chrome,Trackpad,,
2943-91a450a2-c677-4f9e-a6d8-96418595169b,environment_counterfactual,1705721491812.0,1705721835486.0,1705722454864.0,1705723063715.0,619378.0,608851.0,0,31,Female,White,Non-Hispanic,1,chrome,Trackpad,It was a simple study that was enjoyable to do!,no difficulties
3026-bd4f3a4f-075f-4c7d-b3e8-69e9d27354ad,trait_counterfactual,1705716474354.0,1705716685258.0,1705716984077.0,1705717431129.0,298819.0,447052.0,0,35,Female,White,Non-Hispanic,1,chrome,Trackpad,I tried to do the math to see how many berries they would collect with the more pessimistic view and then tried to guess the likelihood of getting bushes with good berries in the optimistic view compared with the route they took.,
3091-2713923a-17af-4f60-a21a-31a432062de3,environment_counterfactual,1705721653304.0,1705721897898.0,1705722346900.0,1705723405459.0,449002.0,1058559.0,0,48,Female,White,Non-Hispanic,2,chrome,Trackpad,"I assumed Prudence would avoid the questionable blocks and Hope would always go for them. Prudence did go for the questionable ones but I think only when there wasn't any other option.
It was quite enjoyable, actually. :)",
3126-4a1bfd5d-3afe-46c2-85f8-8a2c693b3511,trait_causal,1705713281291.0,1705713380862.0,1705713551021.0,1705713873805.0,170159.0,322784.0,0,20,Male,Asian,Non-Hispanic,1,chrome,Mouse,,
3187-7e1d486e-d8f4-4a3e-8d98-6993887df860,environment_causal,1705713988166.0,1705714173990.0,1705714371076.0,1705714650440.0,197086.0,279364.0,0,41,Female,White,Non-Hispanic,2,edge-chromium,Mouse,"I enjoyed this, but wish the game had more to do with predictions. I mostly reviewed routes from each entrance to see if it was possible to gain more berries from the other entrance, and then reviewed if it was possible to gain more if a chance was taken by the question mark trees (Prudence not selecting them vs Hope selecting them).",None
3247-95a90c9a-6230-4957-af4e-58f014870805,trait_causal,1705713507392.0,1705713695491.0,1705713898628.0,1705714279287.0,203137.0,380659.0,1,26,Female,Multiracial/Mixed,Non-Hispanic,2,chrome,Trackpad,I tried to do the math in my head,
3325-f26fb335-a06f-4801-bf53-7ab6b5bb6265,causal_selection,1705626749615.0,1705626917634.0,1705627128667.0,1705627506458.0,211033.0,377791.0,0,31,Male,White,Non-Hispanic,1,chrome,Mouse,"Was an interesting study, I'd be interested in knowing more about what was being studied. Thanks for the opportunity and all the best in your future endeavors. ",None.
3371-26a28df7-2518-4688-82af-f4462a74641a,causal_selection,1705618237110.0,1705618471836.0,1705618827203.0,1705619225427.0,355367.0,398224.0,1,51,Female,White,Non-Hispanic,1,chrome,Mouse,"Depending on where the farmer started, and how optimistic or pessimistic they felt about the trees where the amounts weren't known before harvest. I enjoyed participating. ",I didn't have any problems. 
3397-21474f33-a5a6-46c6-9c6d-8cf947a382b9,environment_causal,1705813914138.0,1705814199831.0,1705814539717.0,1705814880550.0,339886.0,340833.0,1,50,Female,Black/African American,Non-Hispanic,3,chrome,Mouse,It was a bit easy to visualize why Hope and Prudence was either successful or failed to harvest a number of berries.,
3408-2d970e54-3b55-439a-a659-d4e0f15f79c4,trait_counterfactual,1705716607084.0,1705716751465.0,1705717083240.0,1705717473807.0,331775.0,390567.0,0,50,Female,White,Non-Hispanic,4,firefox,Mouse,,
3447-245ca114-5ea4-4a23-bb28-fa48dade4072,trait_causal,1705712122564.0,1705712245351.0,1705712404041.0,1705712722125.0,158690.0,318084.0,0,22,Male,Asian,Hispanic,1,firefox,Mouse,"How many trees, berry count per tree then attitude of the farmer's decided my responses.",
3452-cfa074ce-fbe2-4a61-831d-0a6bc1ddd125,causal_selection,1705626092751.0,1705626353654.0,1705626794366.0,1705627144732.0,440712.0,350366.0,2,41,Female,Asian,Non-Hispanic,3,chrome,Trackpad,,
3490-d537dc17-1ad0-40fc-b804-0fbbd3bc55a6,environment_causal,1705713956992.0,1705714176914.0,1705714543415.0,1705715454969.0,366501.0,911554.0,0,27,Female,White,Non-Hispanic,3,firefox,Mouse,"I would try to predict what path Hope or Prudence would take, if they'd started on the opposite side instead. That was the main factor which influenced my answers. I really enjoyed participating and had fun with the predictions! Hopefully my answers help with your research!","I did not encounter any technical difficulties at all. I also want to note that I completed this experiment using Firefox instead of Chrome. (A risk, I know. In this scenario, I guess I'd be Hope LOL). I don't want to generalize and say it'll always work, as there are a lot of individual factors when it comes to computers/browsers. But it worked for me!"
3582-9debd071-3665-421d-a294-100e6cec12e0,environment_counterfactual,1705721850563.0,1705722167756.0,1705722539053.0,1705722891584.0,371297.0,352531.0,2,30,Male,Black/African American,Non-Hispanic,4,firefox,Mouse,it was fun to do and i loved it hoping more will come,none
3615-6b1a9568-141a-40a8-bfc0-c4c0881298a3,environment_causal,1705713589489.0,1705713810634.0,1705714051265.0,1705714425386.0,240631.0,374121.0,1,40,Male,White,Non-Hispanic,4,chrome,Trackpad,,
3731-21ba0c4b-8f35-4818-a47d-04fa25df76a0,trait_counterfactual,1705716560992.0,1705716876403.0,1705717155612.0,1705717544784.0,279209.0,389172.0,0,38,Female,White,Non-Hispanic,1,chrome,Mouse,"I felt like sometimes the rounds were just not in their favor. Like, sometimes, there was just no way to move ten spaces and get to 20, so it wouldn't matter what route they took, they would end up short and that's why I would say that it wouldn't matter if they were pessimistic, or optimistic, the numbers just weren't their to get 20 berries.",I did not encounter any difficulties with the study/game.
4068-b904852b-4247-4f97-bc45-dfbe9c05376c,trait_causal,1705711904664.0,1705712115766.0,1705712368232.0,1705712912488.0,252466.0,544256.0,0,29,Male,White,Non-Hispanic,2,firefox,Other,The number of berries on each tree and the distance of trees from the farmers influenced my decisions.,N/A
4082-4b684657-76a3-416b-b0ae-ab8bc8bdc279,trait_counterfactual,1705716478817.0,1705716595248.0,1705716799823.0,1705717212489.0,204575.0,412666.0,1,22,Male,White,Non-Hispanic,2,chrome,Mouse,,
4267-ec8a6f98-388e-4bac-8fd2-21237891a60a,trait_counterfactual,1705813570746.0,1705814258453.0,1705814644255.0,1705815317560.0,385802.0,673305.0,5,33,Female,White,Hispanic,3,safari,Trackpad,,
